id,content,date,language,title,normalized_rating,raw_rating,offerings,destinations,offerings_list,destinations_list
377380-203583770957,من الاماكن الهاديه الجميله الممتعه في التسوق تحس انك بالخبر,2021-04-11T06:45:00+00:00,ara,Al Ahsa Mall by Arabian Centres,100.0,5.0,"Tourism Attractions/ Sites, Retail",Al Ahsa,"['Tourism Attractions/ Sites', 'Retail']",['Al Ahsa']
377380-203585579625,مساحة خضراء تتنفس فيها الهواء النقي .. المناظر الطبيعية ..الالعاب الترفيهية المناسبة للأطفال 😍😍 بحر الخليج,2021-04-11T06:45:00+00:00,ara,"King Abdullah Park, Sea front",100.0,5.0,"Tourism Attractions/ Sites, Accommodation","Khobar, Madinah, Riyadh, Dammam","['Tourism Attractions/ Sites', 'Accommodation']","['Khobar', 'Madinah', 'Riyadh', 'Dammam']"
377380-203590496913,nice place,2021-04-11T06:45:00+00:00,eng,Green Mountain Resort,100.0,5.0,Tourism Attractions/ Sites,Taif,['Tourism Attractions/ Sites'],['Taif']
377380-203589330972,جميل❤,2021-04-11T06:45:00+00:00,ara,Waterfront Beach Royal Commission Yanbu,80.0,4.0,Tourism Attractions/ Sites,Yanbu,['Tourism Attractions/ Sites'],['Yanbu']
377380-203586632060,جميييل,2021-04-11T06:45:00+00:00,ara,Dammam Corniche,100.0,5.0,Tourism Attractions/ Sites,"Khobar, Dammam",['Tourism Attractions/ Sites'],"['Khobar', 'Dammam']"
377380-203585120372,الموقع جميل لكن السياح الاجانب السيدات لايلتزمون بالستر !,2021-04-11T06:45:00+00:00,ara,Wadi Lajab,40.0,2.0,Tourism Attractions/ Sites,Jizan,['Tourism Attractions/ Sites'],['Jizan']
377380-203585070111,جميل جدا,2021-04-11T06:45:00+00:00,ara,Prince Hussam Park,100.0,5.0,Tourism Attractions/ Sites,Al Baha,['Tourism Attractions/ Sites'],['Al Baha']
377380-203591489376,منتزه واسع جميل جدا,2021-04-11T06:46:00+00:00,ara,King Abdullah Park,80.0,4.0,"Tourism Attractions/ Sites, Accommodation","Madinah, Riyadh","['Tourism Attractions/ Sites', 'Accommodation']","['Madinah', 'Riyadh']"
377380-203585455511,ذات تصميم جميل يتيح الجلوس للأسر في شبه خصوصية مع إختلاف مناسيب هذه الجلسات مع مناظر من الأشجار والصخور والنجيلة الممتازة وكذلك توافر الحمامات العامة لها .,2021-04-11T06:46:00+00:00,ara,Abu Kheyal Park,100.0,5.0,Tourism Attractions/ Sites,Abha,['Tourism Attractions/ Sites'],['Abha']
377380-203588221890,رايع جدا نظافة وترتيب,2021-04-11T06:46:00+00:00,ara,Al Faisaliah garden,100.0,5.0,"Food & Beverage, Tourism Attractions/ Sites",Taif,"['Food & Beverage', 'Tourism Attractions/ Sites']",['Taif']
377380-203589254881,ممتازة تحتاج تطوير,2021-04-11T06:46:00+00:00,ara,Alanoud Park,60.0,3.0,Tourism Attractions/ Sites,Taif,['Tourism Attractions/ Sites'],['Taif']
377380-172335718245,الموقع ممتاز والاثاث لا باس به ( كويس ),2021-04-13T18:25:00+00:00,ara,Al Fouz Luxury Hotel Suites,100.0,5.0,Accommodation,Jeddah,['Accommodation'],['Jeddah']
377380-203587646029,سوق رائع وتاريخي,2021-04-11T06:46:00+00:00,ara,Souq Al Zel,100.0,5.0,"Tourism Attractions/ Sites, Retail","Madinah, Riyadh","['Tourism Attractions/ Sites', 'Retail']","['Madinah', 'Riyadh']"
